dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,600,1.26E-05,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,900,1.55E-05,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,1200,1.76E-05,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,1500,1.93E-05,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,1800,2.10E-05,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,60,4.50E-06,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,300,9.20E-06,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,600,1.30E-05,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,900,1.59E-05,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,1200,1.88E-05,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,1500,2.05E-05,6.35E-03,1.48E-11,0.2,120
1.00E+06,0.80,0.30,0.440,1.06E+03,2808,2.29E-03,1.33E-04,1800,2.23E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,60,6.20E-06,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,300,1.13E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,600,1.52E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,900,1.84E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,1200,2.10E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,1500,2.33E-05,6.35E-03,1.48E-11,0.2,120
1.20E+06,0.74,0.31,0.727,1.04E+03,2808,2.29E-03,1.33E-04,1800,2.51E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,60,6.80E-06,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,300,1.21E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,600,1.67E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,900,2.01E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,1200,2.29E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,1500,2.54E-05,6.35E-03,1.48E-11,0.2,120
1.40E+06,0.72,0.31,0.489,1.03E+03,2808,2.29E-03,1.33E-04,1800,2.75E-05,6.35E-03,1.48E-11,0.2,120
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,60,5.73E-06,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,300,9.70E-06,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,600,1.21E-05,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,900,1.33E-05,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,1200,1.44E-05,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,1500,1.50E-05,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.722,1.09E+03,2808,2.29E-03,1.33E-04,1800,1.54E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,60,6.93E-06,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,300,1.22E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,600,1.53E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,900,1.70E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,1200,1.85E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,1500,1.95E-05,6.35E-03,1.48E-11,0.4,50
4.00E+05,3.77,0.19,0.823,1.11E+03,2808,2.29E-03,1.33E-04,1800,2.03E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,60,7.43E-06,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,300,1.32E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,600,1.66E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,900,1.84E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,1200,1.98E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,1500,2.08E-05,6.35E-03,1.48E-11,0.4,50
6.00E+05,3.21,0.20,0.797,1.12E+03,2808,2.29E-03,1.33E-04,1800,2.16E-05,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,60,6.53E-06,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,300,1.25E-05,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,600,1.61E-05,6.35E-03,1.48E-11,0.4,50
